Team,Goals,Goals Allowed,Faceoff Wins (%),Man-Up Goal (%),Man-Down No Goal (%),Scoring Margin,Winning Percentage,Turnovers,Caused Turnovers,Shot Percentage,GB,Assists,Saves,Clearing (%),Points,Winning Percentage
Army West Point,9,8.38,0.493,0.343,0.68,0.62,0.385,12.69,8.62,0.246,28.92,5.54,8.08,0.843,14.54,0.385
Boston U.,10.06,11.35,0.478,0.568,0.61,-1.29,0.471,13.65,6.47,0.309,29.41,6.82,12.24,0.839,16.88,0.471
Cleveland St.,8.64,11.36,0.488,0.255,0.576,-2.71,0.286,15.21,7,0.248,26.71,4.43,10.57,0.869,13.07,0.286
Dartmouth,8.46,14.08,0.397,0.269,0.489,-5.62,0.154,15,6.69,0.272,28.85,4.38,10.85,0.802,12.85,0.154
Hampton,9,12.75,0.413,0.311,0.378,-3.75,0.333,18.5,11.58,0.242,34.58,4.08,11.5,0.823,13.08,0.333
Hartford,9.85,12.31,0.591,0.426,0.519,-2.46,0.231,15,4.46,0.309,27.31,5.92,10.77,0.859,15.77,0.231
High Point,11.36,12.07,0.509,0.286,0.667,-0.71,0.429,14.93,7.21,0.317,31.07,5.64,13,0.891,17,0.429
Hobart,10.07,10.71,0.619,0.294,0.676,-0.64,0.286,13.21,6.79,0.249,28.43,5.5,8.79,0.908,15.57,0.286
Holy Cross,6.69,11,0.565,0.208,0.729,-4.31,0.308,16.69,7.85,0.184,26.62,3.38,8.31,0.856,10.08,0.308
Lafayette,7.8,13.4,0.477,0.19,0.574,-5.6,0.2,17.2,6.47,0.235,27.87,4.2,10.27,0.78,12,0.2
Manhattan,8.71,11.5,0.452,0.283,0.816,-2.79,0.286,13.79,4.79,0.26,28.29,5.29,12.14,0.866,14,0.286
Mt. St. Mary's,11.21,12.5,0.538,0.25,0.689,-1.29,0.357,16.71,8.29,0.284,32.29,6.79,10.14,0.847,18,0.357
Navy,9,8.93,0.553,0.259,0.654,0.07,0.643,14.93,6,0.274,28.86,5.43,8.86,0.853,14.43,0.643
NJIT,6.56,12.38,0.365,0.254,0.465,-5.81,0.063,15.69,6.56,0.243,25.19,3.94,11.56,0.794,10.5,0.063
Sacred Heart,11,11.73,0.467,0.4,0.617,-0.73,0.467,13.07,9.13,0.287,30.87,5.87,11,0.889,16.87,0.467
Siena,10.33,13.33,0.483,0.286,0.5,-3,0.25,13.5,6.25,0.256,29.75,4.92,13.17,0.875,15.25,0.25
UMass Lowell,10,10.63,0.382,0.516,0.75,-0.63,0.5,14.63,8.5,0.288,32.44,6.75,13.81,0.862,16.75,0.5
VMI,8.62,12.38,0.527,0.219,0.674,-3.77,0.154,16.85,9.31,0.247,30.15,3.69,11.92,0.837,12.31,0.154
Wagner,6.93,10,0.411,0.375,0.795,-3.07,0.286,16.29,9.07,0.238,25.57,3.93,13.36,0.805,10.86,0.286
